month,trades,pnl,win_rate
2025-01,3,48.174436217208125,66.66666666666666
2025-02,6,-137.36766446597056,16.666666666666664
2025-03,7,-66.23716947419709,28.57142857142857
2025-04,1,-49.22830705106235,0.0
2025-05,1,-37.84306969604582,0.0
2025-06,4,-155.2167321891487,0.0
2025-08,4,-36.85950006388368,25.0
2025-09,4,-47.8286466151972,25.0
2025-10,3,95.07338978060531,66.66666666666666
2025-11,5,3.574648928731307,40.0
2025-12,3,-96.6211559472072,0.0
2026-01,2,14.777021944973754,50.0
2026-02,7,-89.8340856503925,28.57142857142857
2026-03,4,98.88519738325252,50.0
2026-04,1,67.06638042102745,100.0
2026-05,4,-55.99530515429539,25.0
2026-06,9,36.39362404056637,44.44444444444444
2026-07,1,-47.95335844699549,0.0
