month,trades,pnl,win_rate
2025-02,1,-36.697187266880626,0.0
2025-04,1,67.40234745901597,100.0
2025-05,3,-100.05011979091003,0.0
2025-06,3,-125.22055405980998,0.0
2025-07,4,83.83091073233379,50.0
2025-08,3,-122.24213066797772,0.0
2025-09,6,-78.8642435203707,16.666666666666664
2025-10,2,47.93734111560336,50.0
2025-11,2,-97.11758904509185,0.0
2025-12,3,-143.46902371958066,0.0
2026-01,1,-16.26243966504464,0.0
2026-02,3,15.431282412672047,33.33333333333333
2026-03,1,94.91199499656862,100.0
2026-04,3,85.760785211762,66.66666666666666
2026-05,2,-48.258230354390335,0.0
2026-06,3,-135.23112012991302,0.0
2026-07,1,32.703959669085776,100.0
