side,entry_time,exit_time,entry,exit,stop,target,qty,gross_pnl,fees,net_pnl,bars,result
short,2025-09-06 09:45:00+00:00,2025-09-06 14:00:00+00:00,110775.2,111000.13590676908,110999.93590676908,110091.90026646183,0.09027291307079563,-20.305619558265935,7.007106966845393,-27.31272652511133,51,stop
short,2025-09-08 14:15:00+00:00,2025-09-08 14:30:00+00:00,112018.0,112396.22257418463,112396.02257418464,111025.51705163073,0.08902754265809859,-33.67222635747837,6.99266637065754,-40.66489272813591,3,stop
short,2026-05-07 19:50:00+00:00,2026-05-07 20:00:00+00:00,80064.0,80293.52573486337,80293.32573486338,79436.01413027324,0.12405103892819185,-28.472905870558368,6.962381183577422,-35.43528705413579,2,stop
