side,entry_time,exit_time,entry,exit,stop,target,qty,gross_pnl,fees,net_pnl,return_pct,bars
long,2025-01-03 00:25:00+00:00,2025-01-03 01:10:00+00:00,97032.09999999999,96755.62695739123,96755.82695739123,97617.31573891314,0.10305867851978882,-28.492946417604344,6.99002746875384,-35.48297388635818,-0.3548297388635818,9
long,2025-01-04 13:40:00+00:00,2025-01-04 15:25:00+00:00,97905.9,97742.73220180318,97742.93220180318,98322.68702229521,0.10177647134762709,-16.606642738032992,6.969349593321239,-23.575992331354232,-0.23575992331354234,21
long,2025-01-06 14:40:00+00:00,2025-01-06 14:50:00+00:00,99501.4,100978.48156861438,98633.29725425706,100978.68156861438,0.05298140784928394,78.25786101341912,3.7175972298370157,74.5402637835821,0.7454026378358211,2
long,2025-01-06 20:00:00+00:00,2025-01-07 22:40:00+00:00,101997.2,101646.11488623788,101646.31488623787,102703.02277064318,0.09819368862641202,-34.47434234212617,6.998770888476367,-41.473113230602536,-0.4147311323060254,20
short,2025-01-08 09:25:00+00:00,2025-01-08 11:30:00+00:00,95909.40000000001,95391.42548367739,96142.28871088175,95391.2254836774,0.10399406298376664,53.866274474440395,6.962952532968634,46.90332194147176,0.4690332194147176,25
short,2025-01-13 06:25:00+00:00,2025-01-13 06:45:00+00:00,94126.1,93576.55622346357,94382.11540102429,93576.35622346358,0.10646262307985499,58.505871947278344,6.994160999212172,51.511710948066174,0.5151171094806618,4
long,2025-01-18 23:55:00+00:00,2025-01-19 00:10:00+00:00,104543.2,104297.41809706106,104297.61809706106,105095.52345440841,0.0963469954738788,-23.680347890018954,7.0424081302958585,-30.72275602031481,-0.3072275602031481,3
long,2025-01-20 12:00:00+00:00,2025-01-20 12:10:00+00:00,108525.9,107975.89834419596,107976.09834419595,109541.52280870605,0.08018352760593792,-44.10107295147456,6.075957273493465,-50.17703022496802,-0.5017703022496802,2
long,2025-01-21 21:30:00+00:00,2025-01-21 23:00:00+00:00,106494.7,105564.32329904371,105564.5232990437,108077.33077643444,0.04970298919077272,-46.24250311097712,3.688988569993367,-49.93149168097049,-0.4993149168097049,18
long,2025-01-25 09:30:00+00:00,2025-01-25 10:00:00+00:00,104449.4,104243.56669673858,104243.76669673857,104941.63640489212,0.09518093870619224,-19.59140702141804,6.952257365051493,-26.54366438646953,-0.2654366438646953,6
long,2025-01-25 21:50:00+00:00,2025-01-25 23:50:00+00:00,105056.09999999999,104847.78629510089,104847.98629510088,105553.11873234865,0.0943786060486929,-19.660357089216276,6.933652667457235,-26.59400975667351,-0.26594009756673515,24
short,2025-01-27 09:20:00+00:00,2025-01-27 12:40:00+00:00,98900.0,99641.38029540154,99641.18029540154,97614.15455689769,0.06097884006429812,-45.20851046011266,4.237388076312399,-49.44589853642506,-0.49445898536425065,40
long,2025-01-30 18:55:00+00:00,2025-01-31 00:05:00+00:00,105542.9,104660.87839080782,104661.07839080782,107051.33248878826,0.051453778360489366,-45.38334438853638,3.7855225183503176,-49.1688669068867,-0.491688669068867,62
short,2025-02-03 06:50:00+00:00,2025-02-03 07:45:00+00:00,93729.0,94698.37880194877,94698.17880194877,92110.20604707685,0.047285271267261494,-45.83733961088051,3.118443902290215,-48.95578351317072,-0.4895578351317072,11
short,2025-02-06 21:15:00+00:00,2025-02-07 01:50:00+00:00,96443.90000000001,97163.47291216635,97163.27291216636,95195.06380675049,0.06186387722597142,-44.51557029339356,4.192055961758395,-48.70762625515195,-0.4870762625515195,55
short,2025-02-08 16:15:00+00:00,2025-02-08 16:50:00+00:00,95794.1,96052.20902048358,96052.00902048359,95238.59679427464,0.10117717155799551,-26.114740646133168,6.793663422186793,-32.90840406831996,-0.32908404068319963,7
short,2025-02-13 16:05:00+00:00,2025-02-13 21:05:00+00:00,95681.5,96505.55953538262,96505.35953538262,94277.26807192607,0.05419025567564958,-44.65599691434124,3.6451330628207854,-48.30112997716202,-0.4830112997716202,60
short,2025-02-17 08:20:00+00:00,2025-02-17 08:45:00+00:00,96043.1,96244.46250841925,96244.26250841926,95572.28081237113,0.10006930800753303,-20.15020687617502,6.734729161535469,-26.88493603771049,-0.2688493603771049,5
long,2025-02-20 23:00:00+00:00,2025-02-22 02:00:00+00:00,98330.4,98044.05211379888,98044.25211379888,98932.70002930166,0.0974681443364472,-27.90979710268641,6.699088704916472,-34.60888580760288,-0.3460888580760288,24
short,2025-02-27 19:00:00+00:00,2025-02-27 20:10:00+00:00,84453.5,83409.67017816055,85050.3241312263,83409.47017816055,0.07274773538049276,75.9362556614431,4.2740829194880074,71.66217274195509,0.7166217274195509,14
short,2025-03-08 12:05:00+00:00,2025-03-08 12:15:00+00:00,85820.3,86109.42673529389,86109.2267352939,85235.72437205917,0.11210791510627369,-32.413395495281314,6.746139123179807,-39.159534618461116,-0.39159534618461117,2
short,2025-03-11 12:00:00+00:00,2025-03-11 13:25:00+00:00,81521.3,82166.99710255429,82166.7971025543,80409.39207116856,0.06815428999754412,-44.00702757805893,3.9046208844760772,-47.911648462535005,-0.4791164846253501,17
short,2025-03-13 13:35:00+00:00,2025-03-13 15:35:00+00:00,82506.0,81315.06105642368,83203.16896238421,81314.86105642369,0.06311248084607426,75.16311126530411,3.6187037523374865,71.54440751296663,0.7154440751296662,24
short,2025-03-18 15:45:00+00:00,2025-03-18 19:50:00+00:00,81738.7,82261.6745761048,82261.4745761048,80810.49541084279,0.08275108596659678,-43.2767141055925,4.749923183285462,-48.02663728887796,-0.4802663728887796,49
long,2025-03-25 13:00:00+00:00,2025-03-25 13:30:00+00:00,87222.8,87898.35736787696,86874.72168808203,87898.55736787696,0.10957664158841532,74.02530757226666,6.716215903406917,67.30909166885975,0.6730909166885974,6
long,2025-03-25 21:05:00+00:00,2025-03-25 21:55:00+00:00,88117.09999999999,87748.06155915363,87748.26155915363,88825.56258626953,0.10922840839754024,-40.309481531157466,6.723315091388921,-47.032796622546385,-0.47032796622546386,10
long,2025-03-27 09:30:00+00:00,2025-03-27 10:45:00+00:00,87504.3,87365.35355284259,87365.55355284258,87866.55219573613,0.10945585290076425,-15.208501881146095,6.699177476630641,-21.907679357776736,-0.21907679357776738,15
long,2025-03-27 18:10:00+00:00,2025-03-28 19:20:00+00:00,87116.8,86764.34532074121,86764.5453207412,87798.6364188882,0.10969124336094264,-38.6611919962793,6.675633659539901,-45.336825655819204,-0.4533682565581921,2
short,2025-03-29 07:45:00+00:00,2025-03-29 08:35:00+00:00,83696.5,83917.5033764988,83917.3033764988,83217.82606025178,0.11363215049578836,-25.113088938389453,6.666218879907962,-31.779307818297415,-0.31779307818297414,10
short,2025-03-31 00:15:00+00:00,2025-03-31 00:40:00+00:00,82173.90000000001,81532.61621648964,82505.01963900692,81532.41621648964,0.11535090796654962,73.97266669214554,6.609293349964467,67.36337334218106,0.6736337334218107,5
short,2025-03-31 04:15:00+00:00,2025-03-31 04:55:00+00:00,81550.90000000001,81804.06874744434,81803.86874744434,81027.73280383351,0.11705814834041847,-29.6354647934965,6.692710557323968,-36.328175350820466,-0.3632817535082047,8
short,2025-04-03 14:00:00+00:00,2025-04-04 18:00:00+00:00,82014.5,82877.70865881219,82877.50865881219,80575.4616367817,0.05163811318326048,-44.57446642451431,2.9801528868165423,-47.55461931133085,-0.47554619311330854,36
long,2025-04-11 20:30:00+00:00,2025-04-11 21:35:00+00:00,83970.3,83616.25368131271,83616.4536813127,84649.01750303095,0.11268644455042419,-39.89622085903766,6.609656511082077,-46.50587737011974,-0.4650587737011974,13
long,2025-04-15 07:00:00+00:00,2025-04-15 08:10:00+00:00,85548.59999999999,86075.35631775274,85297.76915483149,86075.55631775274,0.11006385466813444,57.97683080266012,6.611357965004588,51.365472837655524,0.5136547283765552,9
long,2025-04-18 20:00:00+00:00,2025-04-18 20:10:00+00:00,84569.2,84495.29814065351,84495.49814065351,84907.4768,0.11194588751342119,-8.273009233434415,6.624126351978312,-14.897135585412727,-0.14897135585412727,2
long,2025-04-20 18:50:00+00:00,2025-04-20 20:05:00+00:00,84560.2,84898.2408,84443.45272113795,84898.4408,0.11178163030260818,37.78675173279819,6.6298192734067065,31.15693245939148,0.3115693245939148,15
long,2025-04-22 10:35:00+00:00,2025-04-22 12:55:00+00:00,88476.4,89047.01286231843,88199.74722512104,89047.21286231843,0.10718602867175879,61.161726620938026,6.659810367339128,54.5019162535989,0.545019162535989,28
long,2025-04-22 15:55:00+00:00,2025-04-23 20:20:00+00:00,90886.4,92009.0363579996,90244.54322800026,92009.2363579996,0.06756086724998432,75.84628595281755,4.324801003743769,71.52148494907378,0.7152148494907378,41
long,2025-04-24 00:40:00+00:00,2025-04-24 01:10:00+00:00,93620.09999999999,93196.15431273411,93196.35431273411,94420.55370589881,0.09811981408044036,-41.59747201473241,6.415631649129408,-48.01310366386182,-0.4801310366386182,6
long,2025-04-25 19:50:00+00:00,2025-04-25 20:40:00+00:00,95186.09999999999,94785.00479969491,94785.20479969491,95955.01847545762,0.10045000524985066,-40.29001497633489,6.6789094660572506,-46.968924442392144,-0.4696892444239214,10
long,2025-04-27 20:35:00+00:00,2025-04-27 21:00:00+00:00,94354.3,94226.21923560042,94226.41923560042,94731.7172,0.10083775005771245,-12.915376107725551,6.65561234255159,-19.57098845027714,-0.1957098845027714,5
long,2025-04-29 09:25:00+00:00,2025-04-29 10:45:00+00:00,94925.4,94746.02338464964,94746.22338464964,95361.28437302553,0.10002490726212523,-17.942129315412963,6.640153287013706,-24.58228260242667,-0.2458228260242667,16
