time,side,midpoint,stop
2025-01-12 11:30:00+00:00,long,94219.8,93688.07916623303
2025-01-13 00:30:00+00:00,long,94928.15,93728.07017771617
2025-01-27 20:45:00+00:00,long,100695.54999999999,98722.12769108728
2025-02-02 14:15:00+00:00,long,98982.15,98084.46865063564
2025-06-12 14:15:00+00:00,long,107276.25,106547.09833463532
2025-07-03 13:45:00+00:00,long,109613.2,108675.35728791257
2025-07-08 17:15:00+00:00,long,108573.65,108020.01926264995
2025-07-09 05:45:00+00:00,long,108628.9,108295.53593224555
2025-07-14 00:00:00+00:00,long,118852.15,118156.48456879215
2025-07-24 14:45:00+00:00,long,118429.45,117768.56139078965
2025-07-29 12:30:00+00:00,long,118735.05,118101.68893562623
2025-10-09 10:45:00+00:00,long,121974.45,121057.50583509117
