month,trades,pnl,win_rate
2025-01,5,-127.5412976742979,20.0
2025-02,5,-159.7541665635389,0.0
2025-03,6,-265.9460198092016,0.0
2025-04,7,191.3374403851943,57.14285714285714
2025-05,10,-229.12062449833633,10.0
2025-06,7,-254.80531064256488,0.0
2025-07,9,-117.23517941372586,22.22222222222222
2025-08,8,-255.689413540428,0.0
2025-09,9,-113.05609237136356,22.22222222222222
2025-10,4,86.02754859935843,50.0
2025-11,6,-32.539813165056614,33.33333333333333
2025-12,10,-263.93184107280945,10.0
2026-01,5,86.15274432925807,40.0
2026-02,5,185.85749331182762,60.0
2026-03,3,130.892396092827,66.66666666666666
2026-04,8,-23.614725866907953,37.5
2026-05,5,-133.30668536915607,0.0
2026-06,4,-62.86839985021569,25.0
2026-07,3,-34.44022971244162,33.33333333333333
