month,trades,pnl,win_rate
2025-01,13,-210.16050028790303,23.076923076923077
2025-02,7,-168.70459291716293,14.285714285714285
2025-03,11,-111.26573265112685,27.27272727272727
2025-04,12,-74.59132311939325,33.33333333333333
2025-05,11,32.663152390028955,45.45454545454545
2025-06,7,-270.0841887292686,0.0
2025-07,9,-120.16121127720245,22.22222222222222
2025-08,6,-94.25730931417397,16.666666666666664
2025-09,8,-156.47236868034162,12.5
2025-10,7,-16.86196811607453,28.57142857142857
2025-11,5,3.276201031038788,40.0
2025-12,5,-171.9599596890629,0.0
2026-01,7,3.8115267178495174,42.857142857142854
2026-02,7,-81.45627529540286,28.57142857142857
2026-03,8,208.23900153810422,62.5
2026-04,9,73.33998874899795,44.44444444444444
2026-05,5,-79.10676995521558,20.0
2026-06,9,33.39105896646539,44.44444444444444
2026-07,7,-185.57791615219116,0.0
