month,trades,pnl,win_rate
2025-02,1,-36.697187266880626,0.0
2025-05,1,-20.97774161579286,0.0
2025-06,2,-96.20747344488431,0.0
2025-07,1,50.20242775214914,100.0
2025-08,3,-122.32933358609664,0.0
2025-09,4,-23.23715838355858,25.0
2025-10,2,48.247060887754884,50.0
2025-11,1,-48.97883221281707,0.0
2025-12,2,-96.83965552549866,0.0
2026-01,1,-16.53247647541012,0.0
2026-02,3,15.687517907984834,33.33333333333333
2026-03,1,96.48800283562541,100.0
2026-04,1,55.035711807251666,100.0
2026-06,2,-97.76179589384327,0.0
2026-07,1,33.442107737288524,100.0
