entry_time,exit_time,entry,exit,qty,gross_pnl,fees,funding,net_pnl,result
2023-08-29 16:00:00+00:00,2023-08-31 12:00:00+00:00,27412.0,27012.186748121585,0.051577054147898184,-20.621189741180267,0.9824637294021166,0.7069151041510925,-22.310568574733477,atr_stop
2023-09-12 12:00:00+00:00,2023-09-21 12:00:00+00:00,26085.8,26722.2,0.051911569854086646,33.03652305514082,0.9594711632991129,3.6562180380292806,28.420833853812425,channel
2023-11-17 16:00:00+00:00,2023-11-21 20:00:00+00:00,36055.2,36089.8668546478,0.01749920032057703,0.6066422339662336,0.4418683419608165,0.7571246008781627,-0.5923507088727455,atr_stop
2023-11-24 16:00:00+00:00,2023-11-26 16:00:00+00:00,38218.299999999996,37436.100000000006,0.02967635632769777,-23.21284591952489,0.7858014262553625,0.680507933423311,-24.679155279203567,channel
2023-11-28 20:00:00+00:00,2023-12-11 00:00:00+00:00,38108.2,42942.98283489848,0.03781689703905614,182.83648467355195,1.0727864826563747,5.332195340251909,176.43150285064368,atr_stop
2023-12-19 04:00:00+00:00,2024-02-17 16:00:00+00:00,43078.2,50990.3,0.026020661076201726,205.87807250101582,0.8567035947563388,20.400803003905562,184.62056590235392,channel
2024-02-26 16:00:00+00:00,2024-03-05 16:00:00+00:00,52849.0,64670.30527856123,0.02582600791927998,305.2971237403486,1.0622690780773416,3.2757088620624666,300.9591458002088,atr_stop
2024-03-11 08:00:00+00:00,2024-05-02 08:00:00+00:00,71207.59999999999,68835.03822079397,0.013243781288132795,-31.421689296387765,0.6491429250632557,14.711702935064377,-46.782535156515394,atr_stop
2024-05-15 16:00:00+00:00,2024-05-19 20:00:00+00:00,64700.1,66040.6,0.01763936237246809,23.6455652602936,0.8071639044455488,1.3695222113219072,21.468879144526145,channel
2024-05-20 20:00:00+00:00,2024-05-23 12:00:00+00:00,70060.5,68756.48404341927,0.017054022836134868,-22.23871790221196,0.8285858055719448,0.9558506935288215,-24.023154401312727,atr_stop
2024-05-27 16:00:00+00:00,2024-05-28 04:00:00+00:00,70384.4,68044.40000000001,0.019017957729768158,-44.50202108765721,0.9214215734438858,0.1338567544035094,-45.55729941550461,channel
2024-06-03 16:00:00+00:00,2024-07-24 16:00:00+00:00,69600.2,68011.20165551757,0.02215527063368499,-35.20468835848569,1.0670862460855517,23.592772387526615,-59.86454699209786,atr_stop
2024-08-09 00:00:00+00:00,2024-08-11 20:00:00+00:00,61694.399999999994,59631.200000000004,0.009871194369862245,-20.36624822389968,0.4191700028740556,0.4871979311456234,-21.272616157919362,channel
2024-08-20 04:00:00+00:00,2024-10-16 00:00:00+00:00,60605.2,67065.7,0.018847394430425102,121.76359171776137,0.8421923333555761,19.532476862785067,101.38892252162071,channel
2024-10-16 04:00:00+00:00,2024-10-21 12:00:00+00:00,67084.8,67317.40803587658,0.016898984165915155,3.930839515142878,0.7949412749118097,1.8138639567577362,1.3220342834733319,atr_stop
2024-10-28 20:00:00+00:00,2024-10-31 16:00:00+00:00,69598.2,70661.7,0.022867764108648773,24.31986712954797,1.1226006074859332,1.4323996979879032,21.764866824074133,channel
2024-11-06 04:00:00+00:00,2025-01-08 08:00:00+00:00,74367.59999999999,94663.88834624065,0.01199447740599119,243.4433719944659,0.7096055287545164,16.948009460818017,225.78575700489338,atr_stop
2025-01-14 12:00:00+00:00,2025-01-19 20:00:00+00:00,96558.5,101583.37377738168,0.0109163322372854,54.85319160432173,0.7570438834952583,1.6865034661342757,52.40964425469219,atr_stop
2025-01-20 08:00:00+00:00,2025-01-20 16:00:00+00:00,107196.7,100991.2409921855,0.007324538312857923,-45.4521222516066,0.5337081925252936,0.0785166336161937,-46.064347077748096,atr_stop
2025-04-11 20:00:00+00:00,2025-04-16 00:00:00+00:00,83826.0,83637.6,0.009364107092360158,-1.7641977762005991,0.5488514795652577,1.0204423334614374,-3.333491589227294,channel
2025-04-21 04:00:00+00:00,2025-05-03 12:00:00+00:00,87191.5,95922.40000000001,0.021937246448820356,191.53190502000584,1.4059551633766265,7.077143267846585,183.0488065887826,channel
2025-06-23 04:00:00+00:00,2025-07-01 12:00:00+00:00,101141.7,106602.2,0.01483603287378207,81.012157507287,1.0787333654046933,3.7513539652755097,76.1820701766068,channel
2025-07-02 20:00:00+00:00,2025-07-04 16:00:00+00:00,109612.9,107600.1,0.019089182816800564,-38.42270717365595,1.4512465335149956,1.2554524123078072,-41.12940611947875,channel
2025-07-09 20:00:00+00:00,2025-07-15 00:00:00+00:00,111750.2,118876.52254618803,0.018177135031486033,129.5361271999833,1.4672465771568937,3.250077560312913,124.8188030625135,atr_stop
2025-09-29 16:00:00+00:00,2025-10-07 12:00:00+00:00,113789.9,121849.1219028515,0.02024751924444516,163.1792505732399,1.6698869707520774,5.299115337169028,156.2102482653188,atr_stop
2025-12-22 12:00:00+00:00,2025-12-23 08:00:00+00:00,89923.4,87572.8,0.017533035816740157,-41.21315399082926,1.089216531177346,0.47298905788891554,-42.77535957989553,channel
2025-12-29 04:00:00+00:00,2025-12-29 08:00:00+00:00,90104.3,87819.75739869782,0.02347422798190999,-53.627873857353045,1.4618204603952154,0.21151288803504126,-55.3012072057833,atr_stop
