entry_time,exit_time,entry,exit,qty,gross_pnl,fees,funding,net_pnl,result
2023-08-29 16:00:00+00:00,2023-08-31 12:00:00+00:00,27412.0,27012.186748121585,0.051577054147898184,-20.621189741180267,0.9824637294021166,0.7069151041510925,-22.310568574733477,atr_stop
2023-09-12 12:00:00+00:00,2023-09-21 12:00:00+00:00,26085.8,26722.2,0.051911569854086646,33.03652305514082,0.9594711632991129,3.6562180380292806,28.420833853812425,channel
2023-09-28 16:00:00+00:00,2023-10-02 20:00:00+00:00,27003.8,27389.782105864928,0.06054122276161037,23.367828653164118,1.1525688898755895,1.9618116854519692,20.25344807783656,atr_stop
2023-10-16 08:00:00+00:00,2023-10-27 20:00:00+00:00,27829.2,33703.5,0.07415174991104242,435.58962450243644,1.5969650836129206,7.016185187322899,426.9764742315006,channel
2023-11-02 00:00:00+00:00,2023-11-03 08:00:00+00:00,35422.6,34135.54631711122,0.035107522059710086,-45.18526556404888,0.8547049546911836,0.49743988436491454,-46.537410403104985,atr_stop
2023-11-07 20:00:00+00:00,2023-11-14 00:00:00+00:00,35452.299999999996,36468.100000000006,0.0385971703511163,39.207005642664335,0.9715733756821487,2.5998810786338726,35.635551188348316,channel
2023-11-15 20:00:00+00:00,2023-11-16 16:00:00+00:00,37499.1,36174.348271364564,0.028551396745914524,-37.82351219410638,0.7362179479323692,0.32119550451441703,-38.88092564655316,atr_stop
2023-11-20 00:00:00+00:00,2023-11-21 12:00:00+00:00,37354.799999999996,36269.5480637807,0.03874933167334389,-42.05278722570023,0.9985129988250034,0.5789894139165706,-43.63028963844181,atr_stop
2023-11-24 16:00:00+00:00,2023-11-26 16:00:00+00:00,38218.299999999996,37436.100000000006,0.031489931595964304,-24.631424494362957,0.8338231583268028,0.7220949916284254,-26.187342644318186,channel
2023-11-28 20:00:00+00:00,2023-12-11 00:00:00+00:00,38108.2,42943.01603041193,0.03934484331406521,190.22507916888813,1.1161315882958527,5.547636284529921,183.56131129606234,atr_stop
2023-12-19 04:00:00+00:00,2023-12-24 20:00:00+00:00,43078.2,42778.08745719761,0.026942990203294548,-8.085929300610553,0.8096287891476805,1.9731143849784574,-10.868672474736691,atr_stop
2024-01-01 20:00:00+00:00,2024-01-03 08:00:00+00:00,43536.399999999994,43750.48290020952,0.032719004544732255,7.004579384904976,0.9995789714076138,0.7122338347306406,5.292766578766722,atr_stop
2024-01-08 12:00:00+00:00,2024-01-09 20:00:00+00:00,44632.899999999994,44682.744780252564,0.02382468072847021,1.1875359754982313,0.7447708523314409,0.4253458369942952,0.017419286172495163,atr_stop
2024-01-26 16:00:00+00:00,2024-02-01 00:00:00+00:00,41417.399999999994,42029.098169703626,0.027287130271992737,16.69148764384252,0.7969554132044072,1.808259182923571,14.086273047714542,atr_stop
2024-02-07 20:00:00+00:00,2024-02-17 16:00:00+00:00,43609.299999999996,50990.3,0.03620745367464821,267.24721557257874,1.198823722124088,4.7369451286015085,261.31144672185314,channel
2024-02-26 16:00:00+00:00,2024-03-05 16:00:00+00:00,52849.0,64670.317552259716,0.026942200673977897,318.4923097237985,1.10818016279667,3.417284072205739,313.9668454887961,atr_stop
2024-03-11 08:00:00+00:00,2024-03-14 16:00:00+00:00,71207.59999999999,69681.57487936088,0.013814031253176177,-21.08055870964063,0.6811866127561934,0.9836640118636679,-22.74540933426049,atr_stop
2024-03-25 16:00:00+00:00,2024-03-27 16:00:00+00:00,69817.09999999999,68964.2,0.012404926142262532,-10.58016150673564,0.6025501217495127,0.5196455813801744,-11.702357209865328,channel
2024-04-08 08:00:00+00:00,2024-04-09 12:00:00+00:00,70700.09999999999,69253.17951148009,0.01641107903855588,-23.74552649960596,0.8038745161188011,0.34807947874014133,-24.8974804944649,atr_stop
2024-04-22 20:00:00+00:00,2024-04-24 16:00:00+00:00,66534.5,64633.100000000006,0.0160837524679182,-30.581646942499574,0.7383835235738178,0.6420746571460222,-31.962105123219413,channel
2024-05-04 00:00:00+00:00,2024-05-08 00:00:00+00:00,62869.7,62322.100000000006,0.013983150403304799,-7.657173160849585,0.6127015190311589,1.054939765092782,-9.324814444973526,channel
2024-05-15 16:00:00+00:00,2024-05-19 20:00:00+00:00,64700.1,66040.6,0.018361356501919637,24.613398390823406,0.8402018107036838,1.4255779221718208,22.3476186579479,channel
2024-05-20 20:00:00+00:00,2024-05-23 12:00:00+00:00,70060.5,68756.7479288268,0.017709561622293132,-23.088877644634206,0.8604374122514458,0.9925925936309344,-24.941907650516587,atr_stop
2024-05-27 16:00:00+00:00,2024-05-28 04:00:00+00:00,70384.4,68044.40000000001,0.019744169172378142,-46.20135586336456,0.9566065759352549,0.1389681500696332,-47.296930589369445,channel
2024-06-03 16:00:00+00:00,2024-06-07 16:00:00+00:00,69600.2,69641.06183136228,0.023000979949760476,0.9398621638744448,1.1209399150468795,1.9210473656391827,-2.1021251168116173,atr_stop
2024-07-01 00:00:00+00:00,2024-07-03 00:00:00+00:00,62773.899999999994,61497.706308304834,0.025844557700302376,-32.982661501777464,1.1241106449104858,0.9734182083738068,-35.08019035506176,atr_stop
2024-07-10 08:00:00+00:00,2024-07-12 04:00:00+00:00,58964.5,56910.4,0.01624607022087601,-33.37105284070139,0.6588791167829451,0.4789707037694218,-34.50890266125376,channel
2024-07-14 08:00:00+00:00,2024-07-18 16:00:00+00:00,60042.7,63538.8,0.020648114770402105,72.18787404880293,0.8931037484244568,1.6116991289422693,69.6830711714362,channel
