side,entry_time,exit_time,entry,exit,stop,target,qty,gross_pnl,fees,net_pnl,return_pct,bars
short,2025-01-08 09:25:00+00:00,2025-01-08 11:30:00+00:00,95909.40000000001,95391.42548367739,96142.28871088175,95391.2254836774,0.10426506682348131,54.00664755723818,6.9810976733549674,47.025549883883215,0.4702554988388321,25
short,2025-01-13 06:25:00+00:00,2025-01-13 06:45:00+00:00,94126.1,93576.55622346357,94382.11540102429,93576.35622346358,0.10674005987588865,58.65833561192085,7.0123874674545466,51.6459481444663,0.516459481444663,4
short,2025-01-27 09:20:00+00:00,2025-01-27 12:40:00+00:00,98900.0,99641.38029540154,99641.18029540154,97614.15455689769,0.062275180491061156,-46.1695917086472,4.327470102494191,-50.49706181114139,-0.504970618111414,40
short,2025-02-03 06:50:00+00:00,2025-02-03 07:45:00+00:00,93729.0,94698.37880194877,94698.17880194877,92110.20604707685,0.04853303815361485,-47.04689838028507,3.2007336076032167,-50.24763198788829,-0.5024763198788829,11
short,2025-02-06 21:15:00+00:00,2025-02-07 01:50:00+00:00,96443.90000000001,97163.47291216635,97163.27291216636,95195.06380675049,0.06349634533697582,-45.69025012604769,4.302676213575451,-49.99292633962314,-0.4999292633962314,55
short,2025-02-08 16:15:00+00:00,2025-02-08 16:50:00+00:00,95794.1,96052.20902048358,96052.00902048359,95238.59679427464,0.10384704149722891,-26.803858160967252,6.9729350648791275,-33.776793225846376,-0.33776793225846374,7
short,2025-02-13 16:05:00+00:00,2025-02-13 21:05:00+00:00,95681.5,96505.55953538262,96505.35953538262,94277.26807192607,0.05562023175029065,-45.83438233401822,3.7413210767677114,-49.575703410785934,-0.4957570341078593,60
short,2025-02-17 08:20:00+00:00,2025-02-17 08:45:00+00:00,96043.1,96244.46250841925,96244.26250841926,95572.28081237113,0.10270994356963761,-20.681931876781466,6.912445643034019,-27.594377519815485,-0.2759437751981549,5
short,2025-02-27 19:00:00+00:00,2025-02-27 20:10:00+00:00,84453.5,83409.67017816055,85050.3241312263,83409.47017816055,0.07493801463373674,78.2225344641354,4.402766446146753,73.81976801798865,0.7381976801798865,14
short,2025-03-08 12:05:00+00:00,2025-03-08 12:15:00+00:00,85820.3,86109.42673529389,86109.2267352939,85235.72437205917,0.1154832454763178,-33.38929374571048,6.949250993036865,-40.338544738747345,-0.40338544738747345,2
short,2025-03-11 12:00:00+00:00,2025-03-11 13:25:00+00:00,81521.3,82166.99710255429,82166.7971025543,80409.39207116856,0.07020627040106364,-45.33198537910966,4.02218069675505,-49.35416607586471,-0.49354166075864714,17
short,2025-03-13 13:35:00+00:00,2025-03-13 15:35:00+00:00,82506.0,81315.06105642368,83203.16896238421,81314.86105642369,0.06501266312246967,77.42611233815688,3.7276552091893835,73.6984571289675,0.736984571289675,24
short,2025-03-18 15:45:00+00:00,2025-03-18 19:50:00+00:00,81738.7,82261.6745761048,82261.4745761048,80810.49541084279,0.0852425447842227,-44.57968372462297,4.89293324605152,-49.47261697067449,-0.4947261697067449,49
