side,entry_time,exit_time,entry,exit,stop,target,qty,gross_pnl,fees,net_pnl,bars,result
long,2025-07-13 02:30:00+00:00,2025-07-14 10:40:00+00:00,117446.4,118205.71835699303,117190.55954150348,118205.91835699303,0.0851452236935317,64.65233136077741,7.022628315976274,57.62970304480114,86,target
long,2025-08-04 21:05:00+00:00,2025-08-06 00:20:00+00:00,114950.3,114604.67312305734,114604.87312305733,115883.74938388534,0.0874954628482466,-30.240783570892695,7.029756517881548,-37.27054008877424,27,stop
short,2025-09-06 09:45:00+00:00,2025-09-06 14:00:00+00:00,110775.2,111000.13590676908,110999.93590676908,110091.90026646183,0.09045670116556798,-20.346960100016915,7.021372850104225,-27.36833295012114,51,stop
short,2025-09-08 14:15:00+00:00,2025-09-08 14:30:00+00:00,112018.0,112396.22257418463,112396.02257418464,111025.51705163073,0.08920879528295368,-33.74078019182879,7.006902854071274,-40.74768304590007,3,stop
long,2025-09-23 15:05:00+00:00,2025-09-23 17:30:00+00:00,112800.9,112338.68317790968,112338.88317790968,113963.01553418062,0.08822840196275035,-40.78065157332905,6.95229697482134,-47.73294854815039,29,stop
long,2025-11-13 15:10:00+00:00,2025-11-13 15:35:00+00:00,102846.09999999999,101667.26509091661,101667.46509091661,105420.54662816676,0.039585511665976784,-46.664783045780815,2.8335181698791274,-49.49830121565994,5,stop
long,2026-04-28 17:20:00+00:00,2026-04-29 03:15:00+00:00,76091.59999999999,76725.4314255029,75855.08046724854,76725.6314255029,0.12951510938390304,82.09074640496469,6.927240089279075,75.16350631568561,119,target
short,2026-05-07 19:50:00+00:00,2026-05-07 20:00:00+00:00,80064.0,80293.52573486337,80293.32573486338,79436.01413027324,0.12402797016776428,-28.467610996368844,6.961086446307046,-35.42869744267589,2,stop
