timestamp,open,high,low,close,volume,turnover,datetime
1735689600000,93593.4,94503.2,93512.1,93848.3,585552.0,55016954.5645,2025-01-01 00:00:00+00:00
1735704000000,93848.3,93945.2,93539.0,93690.8,214752.0,20122355.7897,2025-01-01 04:00:00+00:00
1735718400000,93690.7,93765.0,92889.5,93433.3,512534.0,47839891.884,2025-01-01 08:00:00+00:00
1735732800000,93430.9,94507.9,93402.6,94441.7,705806.0,66369970.8455,2025-01-01 12:00:00+00:00
1735747200000,94441.8,94828.9,93751.1,94621.7,591581.0,55754932.4264,2025-01-01 16:00:00+00:00
1735761600000,94621.7,95164.6,94523.6,94579.1,518701.0,49164470.1528,2025-01-01 20:00:00+00:00
1735776000000,94579.0,95507.9,94376.7,94989.2,931160.0,88464761.5807,2025-01-02 00:00:00+00:00
1735790400000,94999.1,96019.8,94976.8,95813.1,760781.0,72746104.9865,2025-01-02 04:00:00+00:00
1735804800000,95813.3,96887.7,95611.5,96722.6,1057564.0,101956285.7712,2025-01-02 08:00:00+00:00
1735819200000,96726.9,97443.3,95920.7,96471.9,1757956.0,169967579.6564,2025-01-02 12:00:00+00:00
1735833600000,96471.8,97800.0,96036.6,97304.9,1927251.0,187094491.0192,2025-01-02 16:00:00+00:00
1735848000000,97314.7,97828.2,96662.5,96996.4,738258.0,71786269.3571,2025-01-02 20:00:00+00:00
1735862400000,96996.3,97364.1,96661.0,97072.5,354067.0,34339797.9446,2025-01-03 00:00:00+00:00
1735876800000,97072.5,97074.9,96300.0,96334.6,498655.0,48204148.7918,2025-01-03 04:00:00+00:00
1735891200000,96329.9,96844.0,96125.0,96768.3,455894.0,43986443.9217,2025-01-03 08:00:00+00:00
1735905600000,96768.3,97649.8,96445.8,97504.7,1014022.0,98390406.1929,2025-01-03 12:00:00+00:00
1735920000000,97504.8,98969.5,97378.0,98568.6,1274331.0,125214973.703,2025-01-03 16:00:00+00:00
1735934400000,98568.6,98744.8,98061.9,98181.6,531119.0,52244422.1776,2025-01-03 20:00:00+00:00
1735948800000,98181.5,98313.5,97793.8,98206.8,290852.0,28524379.0705,2025-01-04 00:00:00+00:00
1735963200000,98206.7,98350.0,97879.2,98287.0,261063.0,25613783.549,2025-01-04 04:00:00+00:00
1735977600000,98295.3,98318.5,97562.3,97929.8,342070.0,33476995.343,2025-01-04 08:00:00+00:00
1735992000000,97906.6,98166.0,97550.0,97677.7,571485.0,55918925.3369,2025-01-04 12:00:00+00:00
1736006400000,97672.7,98362.1,97578.3,98165.1,396397.0,38830644.5049,2025-01-04 16:00:00+00:00
1736020800000,98164.7,98780.0,98155.0,98221.9,481088.0,47360423.903,2025-01-04 20:00:00+00:00
1736035200000,98221.9,98400.4,98035.3,98189.4,210625.0,20681472.0418,2025-01-05 00:00:00+00:00
1736049600000,98189.3,98529.2,98189.3,98269.0,199501.0,19626455.2451,2025-01-05 04:00:00+00:00
1736064000000,98269.0,98269.0,97590.5,97656.0,507598.0,49647244.8486,2025-01-05 08:00:00+00:00
1736078400000,97656.1,98265.4,97283.2,98022.1,796416.0,77844479.6759,2025-01-05 12:00:00+00:00
1736092800000,98025.1,98329.4,97574.2,98067.3,415056.0,40652472.6943,2025-01-05 16:00:00+00:00
1736107200000,98067.2,98838.9,98014.2,98354.0,490556.0,48291409.9383,2025-01-05 20:00:00+00:00
1736121600000,98355.0,99298.0,97909.6,99012.9,925456.0,91391014.1729,2025-01-06 00:00:00+00:00
1736136000000,99013.0,99900.4,99013.0,99312.9,1018774.0,101375875.8215,2025-01-06 04:00:00+00:00
1736150400000,99312.9,99619.5,98703.6,99250.7,821864.0,81444845.9643,2025-01-06 08:00:00+00:00
1736164800000,99254.0,102444.2,98708.7,102103.6,2475673.0,248655042.5787,2025-01-06 12:00:00+00:00
1736179200000,102103.6,102450.2,101231.7,101780.3,1582342.0,161306441.6108,2025-01-06 16:00:00+00:00
1736193600000,101780.3,102318.7,101578.7,102227.4,729465.0,74403616.8014,2025-01-06 20:00:00+00:00
1736208000000,102227.0,102745.0,101505.9,101714.4,597450.0,60960446.7991,2025-01-07 00:00:00+00:00
1736222400000,101714.5,102012.0,101569.9,101681.2,249004.0,25341455.5134,2025-01-07 04:00:00+00:00
1736236800000,101681.1,102007.5,100505.0,100850.7,668765.0,67693321.6878,2025-01-07 08:00:00+00:00
